"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD8_S145930","G09CD8_S145931","G48CD8_S145920","G58CD8_S145928","G70CD8_S145926","G27CD8_S145935","G44CD8_S145922","G50CD8_S145937","G52CD8_S145932","G81CD8_S145924","SYMBOL","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"233","chr4",108113396,108113796,401,"*",4.35019599183754,4.63220162989561,3.99933493135403,0.725590258561833,0.0141796410786412,0.999789157560756,33.02,16.61,19.22,23.97,31.18,17.97,10.35,14.52,22.73,14.4,"LEF1","Significant",1.84833476206821,1.84833476206821,"Not Capped"
"268","chr3",71050531,71050931,401,"*",3.68906339278402,3.03629591267656,4.13684462224395,-0.992750447642922,0.0163689024895757,0.999789157560756,10.92,5.49,6.36,7.93,10.31,19.76,11.39,15.97,25,15.84,"FOXP1","Significant",1.78598043840723,1.78598043840723,"Not Capped"
"275","chr14",75278549,75278949,401,"*",5.80210258305916,5.45411948581118,6.08224919105516,-0.529571988342128,0.0165722568224101,0.999789157560756,58.37,29.36,33.97,42.38,55.12,76.12,43.85,61.52,96.28,60.99,"FOS","Significant",1.78061834500376,1.78061834500376,"Not Capped"
"287","chr9",70494400,70494800,401,"*",3.19152982014386,3.66607901570828,2.47963089011321,1.2646911501899,0.0170167615236531,0.999789157560756,16.9,8.5,9.84,12.27,15.96,6.27,3.61,5.06,7.93,5.02,"KLF9","Significant",1.7691230873907,1.7691230873907,"Not Capped"
"330","chr9",124735563,124735963,401,"*",3.15834029693909,3.6429617964274,2.42325205431788,1.29586938315953,0.0192803709084526,0.999789157560756,16.63,8.37,9.68,12.08,15.71,6.03,3.47,4.87,7.62,4.83,"NR6A1","Significant",1.71488461556053,1.71488461556053,"Not Capped"
"343","chr11",9506757,9507157,401,"*",3.47737665871955,3.87815884740053,2.92050904209568,1.04274930513059,0.02007703657911,0.999789157560756,19.58,9.85,11.39,14.21,18.49,8.51,4.9,6.87,10.76,6.82,"ZNF143","Significant",1.69730038975,1.69730038975,"Not Capped"
"346","chr10",92689262,92689662,401,"*",3.86827376930958,3.30362067572976,4.27304833505136,-0.864147160786711,0.0201703423605529,0.999789157560756,13.15,6.61,7.65,9.54,12.41,21.72,12.51,17.55,27.47,17.4,"HHEX","Significant",1.6952867302435,1.6952867302435,"Not Capped"
"351","chr19",12613763,12614163,401,"*",4.64849430068458,4.882904553673,4.36846495020982,0.608870920015918,0.020324771775905,0.999789157560756,39.29,19.76,22.86,28.52,37.1,23.21,13.37,18.75,29.35,18.59,"ZNF791","Significant",1.69197432234012,1.69197432234012,"Not Capped"
"369","chr5",3659852,3660252,401,"*",3.73770460603646,4.09896477650972,3.25463262192499,0.932569216183671,0.0212743500257881,0.999789157560756,22.82,11.48,13.28,16.56,21.54,10.72,6.18,8.67,13.56,8.59,"IRX1","Significant",1.67214369961121,1.67214369961121,"Not Capped"
"372","chr9",126637308,126637708,401,"*",3.93900647867826,3.38090076205765,4.34042574472143,-0.85493065059861,0.021309673368643,0.999789157560756,13.87,6.98,8.07,10.07,13.1,22.76,13.11,18.39,28.79,18.24,"LMX1B","Significant",1.67142320703301,1.67142320703301,"Not Capped"
"386","chr1",40449909,40450309,401,"*",4.86676801020266,5.07851890569547,4.61850109115153,0.555032181177812,0.0219629714592543,0.999789157560756,44.99,22.63,26.18,32.66,42.48,27.6,15.9,22.3,34.91,22.11,"ZFP69B","Significant",1.65830890278954,1.65830890278954,"Not Capped"
"410","chr1",248863095,248863495,401,"*",5.15070673546768,4.80751008753274,5.4277479578505,-0.520999116585398,0.023345156469413,0.999789157560756,37.29,18.75,21.7,27.07,35.21,48.36,27.86,39.08,61.17,38.75,"ZNF692","Significant",1.63180321089253,1.63180321089253,"Not Capped"
"413","chr19",39793060,39793460,401,"*",4.58619693958345,4.82083501965597,4.30584208956292,0.608997526489043,0.0235163454503274,0.999789157560756,37.63,18.93,21.9,27.32,35.53,22.22,12.8,17.96,28.11,17.8,"LEUTX","Significant",1.62863016873857,1.62863016873857,"Not Capped"
"417","chr5",179023625,179024025,401,"*",5.49157032261606,5.16191333945962,5.7597344129236,-0.499039341793972,0.0236303372632705,0.999789157560756,47.67,23.98,27.74,34.61,45.01,60.87,35.07,49.2,77,48.78,"ZNF879","Significant",1.6265300798686,1.6265300798686,"Not Capped"
"424","chr5",23648465,23648865,401,"*",3.147879531669,2.28280313969921,3.68490981501683,-1.28315635012503,0.0239520341690767,0.999789157560756,6.48,3.26,3.77,4.7,6.12,14.45,8.32,11.68,18.28,11.58,"PRDM9","Significant",1.62065759745231,1.62065759745231,"Not Capped"
"426","chr4",18021793,18022193,401,"*",5.75739088427594,5.429693914405,6.0242584310024,-0.496021132485993,0.0240601040092326,0.999789157560756,57.39,28.87,33.4,41.67,54.19,73.12,42.12,59.1,92.49,58.59,"LCORL","Significant",1.61870249958395,1.61870249958395,"Not Capped"
"428","chr14",73886556,73886956,401,"*",5.45878696282074,5.12936305916857,5.72679702491546,-0.498581371232738,0.024429885211401,0.999789157560756,46.6,23.44,27.12,33.84,44.01,59.5,34.28,48.09,75.26,47.68,"ZNF410","Significant",1.61207857363943,1.61207857363943,"Not Capped"
"436","chr6",31180524,31180924,401,"*",4.34523968497696,4.60106084849104,4.03406427911944,0.66016718846906,0.0249836713230481,0.999789157560756,32.31,16.25,18.81,23.46,30.51,18.41,10.6,14.87,23.28,14.75,"POU5F1","Significant",1.60234374217545,1.60234374217545,"Not Capped"
"466","chr17",42322766,42323166,401,"*",4.66883194523521,4.88870848188478,4.40931242337833,0.574010354110073,0.0266066994877287,0.999789157560756,39.44,19.84,22.96,28.64,37.25,23.87,13.75,19.29,30.2,19.13,"STAT3","Significant",1.57500899554137,1.57500899554137,"Not Capped"
"513","chr8",80673634,80674034,401,"*",3.01563132652959,3.49691391674936,2.28828957262516,1.28374886693119,0.0285800910652246,0.999789157560756,15.03,7.56,8.75,10.91,14.19,5.49,3.16,4.44,6.94,4.4,"ZNF704","Significant",1.54393639174304,1.54393639174304,"Not Capped"
"519","chr19",16283672,16284072,401,"*",4.02168527187724,3.52632595883684,4.38974399365282,-0.759841789811053,0.0287884377375727,0.999789157560756,15.34,7.72,8.93,11.14,14.49,23.55,13.57,19.03,29.79,18.87,"KLF2","Significant",1.54078190234528,1.54078190234528,"Not Capped"
"527","chr12",24059456,24059856,401,"*",3.09814129454325,3.55905242969054,2.41680910241178,1.21976120780858,0.0292038969196341,0.999789157560756,15.69,7.89,9.13,11.39,14.82,6,3.46,4.85,7.59,4.81,"SOX5","Significant",1.53455919314842,1.53455919314842,"Not Capped"
"535","chr14",89767716,89768116,401,"*",3.78076416054864,4.10708657208124,3.35837292494833,0.837849373075753,0.0296098944820965,0.999789157560756,22.95,11.54,13.35,16.66,21.67,11.52,6.64,9.31,14.57,9.23,"FOXN3","Significant",1.52856314026098,1.52856314026098,"Not Capped"
"537","chr4",56656030,56656430,401,"*",4.26263412151389,3.82114943331001,4.60020089909297,-0.677104283192342,0.0296703396963282,0.999789157560756,18.82,9.47,10.95,13.66,17.77,27.25,15.7,22.02,34.47,21.83,"HOPX","Significant",1.52767748140826,1.52767748140826,"Not Capped"
"550","chr8",102655677,102656077,401,"*",5.7686427216964,5.45128274012635,6.02862366305532,-0.478816678679768,0.0303833317856546,0.999789157560756,58.26,29.3,33.9,42.29,55.01,73.35,42.25,59.27,92.77,58.77,"KLF10","Significant",1.51736460385094,1.51736460385094,"Not Capped"
"564","chr8",54459585,54459985,401,"*",3.44504021320622,2.77244241289647,3.90197671941148,-1.01860857972411,0.0309951674860604,0.999789157560756,9.1,4.58,5.29,6.6,8.59,16.8,9.68,13.57,21.24,13.46,"SOX17","Significant",1.50870601254437,1.50870601254437,"Not Capped"
"576","chr8",66613262,66613662,401,"*",5.69506855349128,5.38206712184651,5.9521210167064,-0.471512479685154,0.0315417782283764,0.999789157560756,55.53,27.93,32.31,40.31,52.43,69.56,40.07,56.21,87.98,55.73,"MYBL1","Significant",1.50111382613071,1.50111382613071,"Not Capped"
"579","chr9",4296066,4296466,401,"*",2.98010872010684,3.45262551056222,2.27282473027413,1.2546840396999,0.0316096204674631,0.999789157560756,14.58,7.33,8.48,10.58,13.77,5.43,3.13,4.39,6.87,4.35,"GLIS3","Significant",1.50018071864558,1.50018071864558,"Not Capped"
"582","chr11",114059551,114059951,401,"*",4.51998800529008,4.12743842734819,4.828253146802,-0.600022888553163,0.031835704087174,0.999789157560756,23.27,11.7,13.54,16.89,21.97,31.92,18.39,25.79,40.37,25.57,"ZBTB16","Significant",1.4970855407179,1.4970855407179,"Not Capped"
"583","chr1",90200173,90200573,401,"*",2.71365491914166,3.24604532862348,1.86076976772667,1.45035295268967,0.0318380504988523,0.999789157560756,12.63,6.35,7.35,9.17,11.93,4.08,2.35,3.3,5.16,3.27,"ZNF326","Significant",1.4970535327532,1.4970535327532,"Not Capped"
"584","chr12",104137985,104138385,401,"*",5.70922508202297,5.39687210852594,5.96584058491522,-0.470471501267684,0.0318490154988406,0.999789157560756,56.1,28.22,32.65,40.73,52.97,70.22,40.45,56.75,88.82,56.27,"NFYB","Significant",1.49690398781934,1.49690398781934,"Not Capped"
"593","chr2",121295285,121295685,401,"*",3.77678879261391,3.22570686319077,4.17458288607611,-0.843873283787678,0.0322499494071462,0.999789157560756,12.46,6.26,7.25,9.04,11.76,20.29,11.69,16.4,25.66,16.26,"TFCP2L1","Significant",1.49147096233769,1.49147096233769,"Not Capped"
"608","chr3",4978829,4979229,401,"*",4.8990550276028,4.55324066555044,5.17779669306433,-0.524881767502686,0.0331518901682608,0.999789157560756,31.26,15.72,18.19,22.7,29.52,40.67,23.43,32.87,51.44,32.59,"BHLHE40","Significant",1.47949170507992,1.47949170507992,"Not Capped"
"611","chr1",58726447,58726847,401,"*",2.51543143079089,3.08482591478371,1.56115220701515,1.58014615039246,0.0333731372618956,0.999789157560756,11.3,5.68,6.57,8.2,10.67,3.32,1.91,2.68,4.19,2.66,"MYSM1","Significant",1.47660296531145,1.47660296531145,"Not Capped"
"646","chr2",189784239,189784639,401,"*",6.24427479702201,5.93084087412121,6.50161850966241,-0.472602160592009,0.0347577531892178,0.999789157560756,81.23,40.85,47.27,58.97,76.7,101.8,58.64,82.27,128.76,81.57,"PMS1","Significant",1.4589483049812,1.4589483049812,"Not Capped"
"697","chr19",55587209,55587609,401,"*",4.73944503687245,4.93767617145991,4.50957073486897,0.523006958322132,0.0377875523085502,0.999789157560756,40.81,20.52,23.75,29.63,38.53,25.59,14.74,20.68,32.37,20.51,"ZNF579","Significant",1.42265123862858,1.42265123862858,"Not Capped"
"703","chr7",149090618,149091018,401,"*",6.02108823336318,5.71657444367942,6.27239521591379,-0.457562386903675,0.0380620640359356,0.999789157560756,70.02,35.22,40.75,50.83,66.11,86.85,50.03,70.19,109.85,69.59,"ZNF786","Significant",1.41950766441705,1.41950766441705,"Not Capped"
"718","chr19",57718791,57719191,401,"*",2.8371423924196,3.3355429301666,2.06944324023336,1.33833381743627,0.0385323397363744,0.999789157560756,13.44,6.76,7.82,9.76,12.69,4.72,2.72,3.81,5.96,3.78,"ZNF671","Significant",1.41417461923134,1.41417461923134,"Not Capped"
"724","chr1",212665240,212665640,401,"*",4.58799652932265,4.2239892997036,4.8784169518364,-0.554103354234883,0.0386684603103122,0.999789157560756,24.88,12.51,14.48,18.06,23.5,33.05,19.04,26.71,41.8,26.48,"BATF3","Significant",1.41264312019608,1.41264312019608,"Not Capped"
"734","chr13",99989384,99989784,401,"*",3.70388227479689,3.1522495274264,4.10196162905982,-0.843798150807359,0.0390270423074872,0.999789157560756,11.84,5.95,6.89,8.59,11.18,19.29,11.11,15.59,24.4,15.46,"ZIC2","Significant",1.40863436079177,1.40863436079177,"Not Capped"
"738","chr1",47416953,47417353,401,"*",3.78939087221281,3.26653010905743,4.17234540282049,-0.800598885818065,0.039329524508397,0.999789157560756,12.81,6.44,7.46,9.3,12.1,20.26,11.67,16.37,25.62,16.23,"FOXE3","Significant",1.40528130415287,1.40528130415287,"Not Capped"
"765","chr19",53158864,53159264,401,"*",4.47976313722447,4.69881565058951,4.22139165068137,0.571465523771766,0.0408900664445983,0.999789157560756,34.58,17.39,20.12,25.1,32.65,20.96,12.07,16.94,26.51,16.79,"ZNF347","Significant",1.38838218373525,1.38838218373525,"Not Capped"
"767","chr11",114073801,114074201,401,"*",4.26074148680864,3.84005776177624,4.58604674072798,-0.644163166548762,0.0410314215736028,0.999789157560756,19.07,9.59,11.1,13.84,18.01,26.98,15.54,21.81,34.13,21.62,"ZBTB16","Significant",1.3868834362167,1.3868834362167,"Not Capped"
"775","chr14",105448721,105449121,401,"*",4.60303023056059,4.80851877192431,4.36333337392372,0.539759664848623,0.0414852180742203,0.999789157560756,37.31,18.77,21.71,27.09,35.23,23.12,13.32,18.69,29.25,18.53,"MTA1","Significant",1.38210662262263,1.38210662262263,"Not Capped"
"792","chr14",75427588,75427988,401,"*",4.5320108595442,4.16468337098699,4.82453677118032,-0.559464092884359,0.042178070699193,0.999789157560756,23.88,12.01,13.9,17.34,22.55,31.84,18.34,25.73,40.27,25.51,"JDP2","Significant",1.37491328955285,1.37491328955285,"Not Capped"
"799","chr3",12428726,12429126,401,"*",2.82744233558056,3.31595210285597,2.08325749050098,1.30330439333983,0.042538202422782,0.999789157560756,13.26,6.67,7.72,9.63,12.52,4.76,2.74,3.85,6.02,3.81,"PPARG","Significant",1.3712208664399,1.3712208664399,"Not Capped"
"811","chr19",11766853,11767253,401,"*",4.98906254333038,5.16639868650624,4.78683256892748,0.475064514274394,0.0431115300647683,0.999789157560756,47.82,24.05,27.83,34.71,45.15,31.01,17.87,25.06,39.23,24.85,"ZNF441","Significant",1.36540656339306,1.36540656339306,"Not Capped"
"814","chr19",52139820,52140220,401,"*",5.30028169861372,5.46735034007906,5.11130079328835,0.451970250706839,0.0431543330048314,0.999789157560756,58.91,29.63,34.28,42.77,55.63,38.84,22.37,31.39,49.12,31.12,"ZNF616","Significant",1.36497559147572,1.36497559147572,"Not Capped"
"827","chr10",47384311,47384711,401,"*",4.82921371437065,4.49951664484273,5.09740429118295,-0.498294775378925,0.0440649257796675,0.999789157560756,30.12,15.15,17.53,21.87,28.44,38.46,22.16,31.08,48.65,30.82,"ZNF488","Significant",1.35590695704097,1.35590695704097,"Not Capped"
"832","chr6",122082291,122082691,401,"*",3.53489939067935,2.93383822234087,3.95791935574114,-0.916037728014815,0.0442297744603593,0.999789157560756,10.17,5.12,5.92,7.39,9.61,17.46,10.06,14.11,22.08,13.99,"HSF2","Significant",1.35428527521035,1.35428527521035,"Not Capped"
"834","chr11",128772877,128773277,401,"*",4.01207722310051,3.55331728463095,4.35961656883216,-0.70326698842248,0.044440819243339,0.999789157560756,15.63,7.86,9.1,11.35,14.76,23.07,13.29,18.64,29.17,18.48,"FLI1","Significant",1.35221794366497,1.35221794366497,"Not Capped"
"839","chr12",124466140,124466540,401,"*",5.16758576457939,4.86138532978122,5.42003899517618,-0.459637697444397,0.0449756493733409,0.999789157560756,38.7,19.47,22.52,28.1,36.55,48.1,27.71,38.87,60.84,38.54,"NCOR2","Significant",1.34702255744939,1.34702255744939,"Not Capped"
"841","chr22",22480934,22481334,401,"*",2.99352987066153,3.4452438691093,2.3322927912758,1.18986158934149,0.0450766307131109,0.999789157560756,14.5,7.29,8.44,10.53,13.69,5.66,3.26,4.57,7.16,4.53,"ZNF280B","Significant",1.34604855308265,1.34604855308265,"Not Capped"
"850","chr19",36838049,36838449,401,"*",5.05105761942113,5.22375357626535,4.85484204635168,0.464550880219342,0.045764897179123,0.999789157560756,49.76,25.03,28.96,36.12,46.98,32.51,18.73,26.27,41.12,26.05,"ZNF790","Significant",1.3394675090386,1.3394675090386,"Not Capped"
"851","chr2",238239881,238240281,401,"*",4.88887765666615,4.56800749883807,5.15120633988574,-0.483758232758662,0.0458577925406213,0.999789157560756,31.58,15.88,18.38,22.93,29.82,39.93,23,32.27,50.5,31.99,"HES6","Significant",1.3385868547631,1.3385868547631,"Not Capped"
"869","chr11",12674229,12674629,401,"*",4.15392465935865,3.73022949106485,4.48102252649553,-0.648724073366682,0.0467181820268995,0.999789157560756,17.67,8.89,10.28,12.83,16.69,25.09,14.45,20.28,31.73,20.1,"TEAD1","Significant",1.3305140655328,1.3305140655328,"Not Capped"
"870","chr5",23440442,23440842,401,"*",3.12708210054965,2.39314737034997,3.61120803429454,-1.10165645633527,0.0467682584737506,0.999789157560756,6.99,3.52,4.07,5.08,6.6,13.73,7.91,11.1,17.37,11,"PRDM9","Significant",1.33004880176825,1.33004880176825,"Not Capped"
"883","chr10",102229808,102230208,401,"*",4.72046721146633,4.3862124054031,4.99166129855542,-0.505580435750695,0.0473065160195219,0.999789157560756,27.84,14,16.2,20.21,26.29,35.75,20.59,28.89,45.21,28.64,"PITX3","Significant",1.3250790352364,1.3250790352364,"Not Capped"
"892","chr1",247323048,247323448,401,"*",4.08137802723113,4.33891762739109,3.76765309880136,0.663663217884019,0.0478818132964062,0.999789157560756,26.95,13.55,15.68,19.56,25.44,15.3,8.81,12.37,19.35,12.26,"ZNF496","Significant",1.31982941111208,1.31982941111208,"Not Capped"
"970","chr6",31902106,31902506,401,"*",5.16658022956609,4.86881987789103,5.41327491667874,-0.44551509514672,0.0514382039098362,0.999789157560756,38.9,19.57,22.64,28.24,36.74,47.88,27.58,38.69,60.56,38.36,"ZBTB12","Not Significant",1.28871420426862,1.28871420426862,"Not Capped"
"977","chr2",191194069,191194469,401,"*",3.74176014293808,3.24209936471768,4.11217770925798,-0.764960886582882,0.0517243472152718,0.999789157560756,12.6,6.34,7.33,9.15,11.9,19.43,11.19,15.7,24.58,15.57,"STAT4","Not Significant",1.28630498162103,1.28630498162103,"Not Capped"
"982","chr8",122782323,122782723,401,"*",5.35372929169132,5.06370300202231,5.59509705482151,-0.432609062324631,0.0519149024853689,0.999789157560756,44.53,22.4,25.92,32.33,42.05,54.31,31.28,43.89,68.69,43.52,"ZHX2","Not Significant",1.28470795740876,1.28470795740876,"Not Capped"
"1011","chr12",124453460,124453860,401,"*",4.67077811298275,4.33738543317694,4.94140527235176,-0.504102372923924,0.0535414599476676,0.999789157560756,26.92,13.54,15.66,19.54,25.42,34.52,19.89,27.9,43.66,27.66,"NCOR2","Not Significant",1.27130979081492,1.27130979081492,"Not Capped"
"1016","chr3",169278732,169279132,401,"*",2.83163125938432,3.28250155733478,2.17221731379532,1.18493519167923,0.0536895595629463,0.999789157560756,12.96,6.52,7.54,9.41,12.23,5.06,2.92,4.09,6.4,4.06,"MECOM","Not Significant",1.27011015871448,1.27011015871448,"Not Capped"
"1041","chr19",23395326,23395726,401,"*",5.42067499865241,5.13534860883801,5.65878198285441,-0.42481732675368,0.0547940144316874,0.999789157560756,46.8,23.54,27.23,33.98,44.19,56.76,32.7,45.87,71.79,45.48,"ZNF91","Not Significant",1.26126688022486,1.26126688022486,"Not Capped"
"1045","chr17",40647747,40648147,401,"*",4.62241884698903,4.81363045636659,4.40193550417993,0.50661402387737,0.0548770323955986,0.999789157560756,37.44,18.83,21.79,27.18,35.36,23.75,13.68,19.2,30.04,19.03,"SMARCE1","Not Significant",1.26060938216033,1.26060938216033,"Not Capped"
"1074","chr6",34223965,34224365,401,"*",5.550600111131,5.26860493922169,5.78638497427029,-0.419252339557702,0.0566817990743544,0.999789157560756,51.33,25.82,29.87,37.26,48.47,62.01,35.72,50.11,78.43,49.69,"HMGA1","Not Significant",1.24655637374453,1.24655637374453,"Not Capped"
"1094","chr13",40984786,40985186,401,"*",3.59885006570673,3.91292192100424,3.19681197067643,0.804790138804382,0.0571043738786033,0.999789157560756,20.06,10.09,11.67,14.56,18.94,10.3,5.93,8.33,13.03,8.25,"ELF1","Not Significant",1.24333062592941,1.24333062592941,"Not Capped"
"1102","chr10",79068913,79069313,401,"*",5.20369919799656,4.91566598261383,5.44368636788779,-0.429161588232356,0.0573760958091279,0.999789157560756,40.19,20.21,23.39,29.18,37.95,48.9,28.17,39.52,61.85,39.18,"ZMIZ1","Not Significant",1.24126900691328,1.24126900691328,"Not Capped"
"1114","chr14",89500192,89500592,401,"*",3.40005967776599,2.81200352123361,3.81664152078606,-0.895456284045177,0.0579506693004782,0.999789157560756,9.35,4.7,5.44,6.79,8.83,15.83,9.12,12.79,20.02,12.68,"FOXN3","Not Significant",1.23694154379312,1.23694154379312,"Not Capped"
"1116","chr2",222157604,222158004,401,"*",2.31495699852414,1.18995011525214,2.93929204329256,-1.60056549932236,0.0580218431215165,0.999789157560756,3.04,1.53,1.77,2.21,2.87,8.62,4.96,6.96,10.9,6.91,"PAX3","Not Significant",1.23640847951835,1.23640847951835,"Not Capped"
"1129","chr17",39813651,39814051,401,"*",4.98119602782467,5.14657167340841,4.79437912094191,0.447821285429463,0.0587677118722583,0.999789157560756,47.16,23.72,27.45,34.24,44.54,31.18,17.96,25.2,39.43,24.98,"IKZF3","Not Significant",1.23086121826292,1.23086121826292,"Not Capped"
"1142","chr17",55356715,55357115,401,"*",3.49301871299882,3.81848438506154,3.07206590686886,0.834272453745638,0.0592986182805983,0.999789157560756,18.79,9.45,10.93,13.64,17.74,9.45,5.44,7.64,11.95,7.57,"HLF","Not Significant",1.22695542603039,1.22695542603039,"Not Capped"
